K,L,R,Rstitched,a,Recall,UserTime,ElapsedTime
20,20,42,-1,1.2,97.2,3.203125,3.16472
40,40,42,-1,1.2,99.325,4.859375,3.97192
50,50,42,-1,1.2,99.5,5.359375,4.11547
70,70,42,-1,1.2,99.7571,6.609375,4.31386
100,100,42,-1,1.2,99.74,9.968750,5.04636
100,120,42,-1,1.2,99.87,11.375000,5.13941
100,150,42,-1,1.2,99.93,15.812500,5.49389
100,200,42,-1,1.2,99.96,24.468750,6.28876
